Item ID,Price,Size,Brand,User Rating,Condition,Country,Discovery Time,Current Epoch,Item Epoch,Lowest Offset,Highest Offset,Current Offset
4782748428,25.0 GBP,S,Nike,⭐️⭐️⭐️⭐️☆ (2),Very good,UK,3 seconds,1721605205,1721605202,1937,1937,1937
4793442517,9.0 GBP,L,Arsenal,☆☆☆☆☆ (0),Very good,UK,0 seconds,1721615033,1721615033,2,1937,2
4793442529,10.99 GBP,S,Nike,⭐️⭐️⭐️⭐️⭐️ (21),Very good,UK,3 seconds,1721615047,1721615044,2,1937,12
4793442758,22.0 GBP,M,United,☆☆☆☆☆ (0),New with tags,UK,2 seconds,1721615194,1721615192,2,1937,26
4793442851,10.0 GBP,L,Nike,☆☆☆☆☆ (0),Very good,UK,2 seconds,1721615255,1721615253,2,1937,27
4793442918,10.0 GBP,XL,Nike,☆☆☆☆☆ (0),Very good,UK,0 seconds,1721615286,1721615286,2,1937,21
4793442934,30.0 GBP,S,adidas,⭐️⭐️⭐️⭐️⭐️ (60),Very good,UK,1 seconds,1721615294,1721615293,2,1937,16
4793443394,10.0 GBP,S,Nike,⭐️⭐️⭐️⭐️⭐️ (10),Very good,UK,2 seconds,1721615592,1721615590,2,1937,20
4793443753,10.0 GBP,S,adidas,⭐️⭐️⭐️⭐️⭐️ (12),New with tags,UK,4 seconds,1721615818,1721615814,2,1937,10
4793443778,60.0 GBP,XL,Nike,☆☆☆☆☆ (0),Very good,UK,0 seconds,1721615831,1721615831,2,1937,20
4793443974,15.0 GBP,S,Nike,☆☆☆☆☆ (0),New without tags,UK,0 seconds,1721615959,1721615959,2,1937,25
4793444054,10.0 GBP,M,adidas,⭐️⭐️⭐️⭐️⭐️ (121),Very good,UK,1 seconds,1721616013,1721616012,2,1937,3
4793444120,20.0 GBP,S,Nike,⭐️⭐️⭐️⭐️☆ (23),New without tags,UK,3 seconds,1721616063,1721616060,2,1937,5
4793444323,17.0 GBP,M,Nike,⭐️⭐️⭐️⭐️☆ (69),New without tags,UK,0 seconds,1721616209,1721616209,2,1937,14
4793444383,60.0 GBP,XL,Nike,⭐️⭐️⭐️⭐️⭐️ (33),Very good,UK,3 seconds,1721616250,1721616247,0,1937,0
4793444445,17.0 GBP,M,Nike,⭐️⭐️⭐️⭐️☆ (69),New without tags,UK,2 seconds,1721616295,1721616293,0,1937,27
4793444943,15.0 GBP,M,Nike,⭐️⭐️⭐️⭐️⭐️ (8),New without tags,UK,3 seconds,1721616701,1721616698,0,1937,5
4793445832,10.0 GBP,XL,adidas,⭐️⭐️⭐️⭐️⭐️ (46),Very good,UK,1 seconds,1721617368,1721617367,0,1937,16
4793446033,24.69 GBP,L,AC Milan,☆☆☆☆☆ (0),New with tags,UK,2 seconds,1721617519,1721617517,0,1937,11
4793446291,23.0 GBP,L,Inter Milan,☆☆☆☆☆ (0),New with tags,UK,2 seconds,1721617700,1721617698,0,1937,14
4793446642,25.69 GBP,XL,AC Milan,☆☆☆☆☆ (0),New with tags,UK,2 seconds,1721617935,1721617933,0,1937,17
4793446663,10.0 GBP,S,Nike,☆☆☆☆☆ (0),Very good,UK,3 seconds,1721617951,1721617948,0,1937,15
4793446795,5.0 GBP,M,Nike,⭐️☆☆☆☆ (4),Very good,UK,2 seconds,1721618032,1721618030,0,1937,23
4793447170,99.0 GBP,S,Nike,☆☆☆☆☆ (0),New with tags,UK,3 seconds,1721618263,1721618260,0,1937,11
4793447313,23.0 GBP,M,Real Madrid,☆☆☆☆☆ (0),New with tags,UK,2 seconds,1721618356,1721618354,0,1937,21
4793447469,10.0 GBP,S,Nike,☆☆☆☆☆ (0),Very good,UK,4 seconds,1721618459,1721618455,0,1937,29
4793447618,4.0 GBP,M,Liverpool,⭐️⭐️⭐️⭐️⭐️ (61),Very good,UK,1 seconds,1721618553,1721618552,0,1937,22
